"","x"
"278",2.579396
"279",1.755359
"280",1.473405
"281",1.952818
"282",1.779869
"283",1.986862
"284",1.939712
"285",1.6759
"286",1.572739
"287",2.524902
"288",14.678899
"289",3.034076
"290",1.97903
"291",5.937759
"292",1.441678
"293",2.621232
"294",2.038008
"295",3.754915
"296",2.437746
"297",1.702031
"298",7.10987
"299",2.019659
"300",1.85049
"301",1.41595
"302",7.693316
"303",3.014417
"304",2.359109
"305",1.592316
"306",1.389253
"307",1.332969
"308",1.423329
"309",2.977571
"310",1.387355
"311",1.40498
"312",2.621232
"313",4.279161
"314",1.605505
"315",2.011796
"316",2.267366
"317",1.46465
"318",3.374066
"319",1.490799
"320",2.096986
"321",1.570166
"322",1.376147
"323",3.145478
"324",8.453735
"325",3.033283
"326",2.06422
"327",6.422018
"328",1.898788
"329",1.49017
"330",50.065531
"331",1.559633
"332",1.965924
"333",1.800052
"334",2.42464
"335",1.310616
"336",1.612058
"337",4.221165
"338",1.260404
"339",1.403693
"340",1.297265
"341",1.927492
"342",1.915458
"343",1.207452
"344",5.698583
"345",1.902497
"346",1.189134
"347",10.178024
"348",1.60208
"349",4.161712
"350",2.36305
"351",1.965044
"352",1.945982
"353",2.853746
"354",1.20244
"355",10.820452
"356",1.588763
"357",2.09635
"358",5.469679
"359",1.892985
"360",2.033294
"361",1.605232
"362",1.403092
"363",1.195006
"364",3.246136
"365",1.263122
"366",2.972652
"367",1.20495
"368",1.881273
"369",1.783591
"370",3.9239
"371",1.902497
"372",1.664685
"373",4.452825
"374",1.323621
"375",1.605232
"376",24.970273
"377",2.734839
"378",1.783591
"379",1.810939
"380",2.11415
"381",1.391201
"382",1.346017
"383",1.507384
"384",1.940488
"385",2.569798
"386",1.580766
"387",1.487515
"388",1.521998
"389",1.690844
"390",1.783591
"391",1.258866
"392",1.573748
"393",1.467301
"394",2.713705
"395",2.736029
"396",1.456599
"397",2.137432
"398",2.47909
"399",2.378121
"400",4.637337
"401",1.189061
"402",1.545779
"403",2.342449
"404",2.337693
"405",1.397146
"406",4.221165
"407",1.639952
"408",1.218787
"409",3.686088
"410",2.497027
"411",2.497027
"412",5.231867
"413",1.307967
"414",1.268125
"415",2.165279
"416",4.640193
"417",2.972652
"418",1.664685
"419",1.189061
"420",11.890606
"421",2.865636
"422",1.244367
"423",1.724138
"424",5.6956
"425",1.35957
"426",7.074911
"427",1.403476
"428",1.402419
"429",1.319857
"430",4.320589
"431",1.843044
"432",1.414982
"433",1.486326
"434",4.946032
"435",1.913199
"436",20.049941
"437",1.436508
"438",5.507729
"439",3.210464
"440",1.399328
"441",5.001735
"442",3.448276
"443",3.55648
"444",1.357568
"445",2.131511
"446",1.841886
"447",1.426873
"448",2.417598
"449",1.252155
"450",1.899703
"451",1.559183
"452",1.249253
"453",1.903241
"454",1.605232
"455",2.229659
"456",1.212842
"457",3.448276
"458",1.243268
"459",1.674931
"460",1.353151
"461",1.787545
"462",2.036861
"463",1.973841
"464",1.640904
"465",2.909932
"466",2.550958
"467",1.807372
"468",4.002578
"469",1.426873
"470",2.343112
"471",1.388823
"472",4.173603
"473",1.278537
"474",3.558859
"475",1.20015
"476",1.551234
"477",1.69962
"478",65.707491
"479",27.262595
"480",15.926278
"481",1.279497
"482",3.098441
"483",2.946962
"484",1.224732
"485",1.664685
"486",1.319602
"487",1.516599
"488",1.273231
"489",1.664685
"490",1.307967
"491",5.469679
"492",1.248514
"493",1.986825
"494",1.426873
"495",1.426873
"496",2.16409
"497",2.140309
"498",1.307967
"499",1.498384
"500",1.688466
"501",1.839949
"502",4.375743
"503",1.786692
"504",1.655944
"505",1.189061
"506",3.85076
"507",4.161712
"508",2.140309
"509",2.140309
"510",2.615933
"511",4.161712
"512",22.258226
"513",2.259215
"514",4.280618
"515",1.306247
"516",5.588585
"517",2.794293
"518",1.441602
"519",1.349646
"520",1.565072
"521",1.112347
"522",2.810164
"523",1.783453
"524",2.128699
"525",4.349277
"526",2.71079
"527",1.134594
"528",2.623686
"529",2.393771
"530",6.234705
"531",1.378198
"532",1.216908
"533",1.163515
"534",2.459407
"535",4.727475
"536",1.557286
"537",1.307008
"538",3.143493
"539",1.197108
"540",1.167964
"541",1.112347
"542",1.779755
"543",1.647403
"544",1.723692
"545",5.561735
"546",1.334816
"547",1.446051
"548",1.334816
"549",1.590656
"550",1.112347
"551",3.032436
"552",3.786429
"553",2.224694
"554",2.447164
"555",10.011123
"556",1.163547
"557",1.112347
"558",3.152863
"559",3.726363
"560",4.449388
"561",2.281264
"562",3.559511
"563",4.449388
"564",1.209121
"565",1.156841
"566",2.224694
"567",1.240267
"568",1.159256
"569",1.668521
"570",3.337041
"571",10.072303
"572",2.141268
"573",1.474972
"574",1.112347
"575",1.689655
"576",1.668521
"577",1.617353
"578",1.112347
"579",2.169077
"580",1.493882
"581",1.408231
"582",2.502781
"583",2.258065
"584",3.726363
"585",1.8937
"586",1.704116
"587",2.342854
"588",1.946607
"589",1.279199
"590",1.510696
"591",2.447164
"592",3.675195
"593",2.378241
"594",1.774194
"595",1.515128
"596",2.234705
"597",1.816463
"598",3.448276
"599",4.671858
"600",1.156841
"601",1.223582
"602",4.07893
"603",1.192436
"604",1.204093
"605",2.558398
"606",1.618465
"607",1.822024
"608",1.610564
"609",1.860957
"610",7.99207
"611",1.785317
"612",4.894327
"613",2.520578
"614",1.394883
"615",1.390434
"616",1.297179
"617",3.670745
"618",3.876529
"619",3.587319
"620",1.437954
"621",1.175275
"622",1.501669
"623",1.506003
"624",5.925473
"625",12.631813
"626",3.061179
"627",1.43604
"628",2.279199
"629",1.491766
"630",6.916554
"631",1.604229
"632",1.668521
"633",1.157211
"634",1.320356
"635",3.448276
"636",1.975762
"637",1.856507
"638",2.002225
"639",5.300504
"640",4.004449
"641",1.124468
"642",1.546495
"643",2.558398
"644",1.479166
"645",1.259399
"646",3.197998
"647",3.114572
"648",1.31257
"649",5.67297
"650",13.348165
"651",11.431591
"652",4.259177
"653",3.366826
"654",1.112347
"655",1.112347
"656",1.446051
"657",2.073115
"658",1.223582
"659",1.612903
"660",1.319244
"661",1.129032
"662",2.335929
"663",1.724138
"664",11.123471
"665",1.668521
"666",1.557286
"667",1.557286
"668",1.933311
"669",1.724138
"670",1.501669
"671",2.207435
"672",1.04712
"673",1.425361
"674",1.361257
"675",9.314136
"676",1.64489
"677",2.617801
"678",2.541112
"679",1.570681
"680",1.256545
"681",1.458639
"682",1.04712
"683",2.231414
"684",2.198953
"685",5.026178
"686",2.408377
"687",1.652178
"688",1.151832
"689",1.319684
"690",2.701571
"691",2.544503
"692",2.356021
"693",1.256545
"694",1.675393
"695",1.361257
"696",3.874346
"697",1.769634
"698",1.118325
"699",2.209424
"700",1.098429
"701",1.151832
"702",2.96375
"703",11.623037
"704",14.293194
"705",1.287958
"706",1.465969
"707",13.623037
"708",1.129843
"709",2.403141
"710",5.445026
"711",1.046911
"712",1.059162
"713",2.094241
"714",1.855497
"715",1.570681
"716",1.937173
"717",2.203141
"718",2.460733
"719",1.427617
"720",1.735079
"721",4.08377
"722",2.157068
"723",1.465969
"724",1.168586
"725",1.225131
"726",1.151832
"727",3.769634
"728",1.095052
"729",1.204188
"730",2.617801
"731",1.871204
"732",4.397906
"733",4.60733
"734",18.646484
"735",1.04712
"736",1.04712
"737",1.04712
"738",15.811518
"739",1.989529
"740",1.04712
"741",1.256545
"742",1.151832
"743",1.073298
"744",1.194421
"745",1.064361
"746",1.384293
"747",1.13089
"748",1.151832
"749",1.793717
"750",1.141361
"751",1.632906
"752",2.643979
"753",1.286896
"754",4.450262
"755",1.236649
"756",1.959162
"757",1.19105
"758",1.314434
"759",1.989529
"760",1.649571
"761",2.722513
"762",1.132421
"763",1.780105
"764",1.60733
"765",1.204188
"766",1.073298
"767",1.099476
"768",1.406283
"769",1.965445
"770",3.363191
"771",1.570681
"772",1.256545
"773",2.762441
"774",1.066486
"775",1.377951
"776",1.300253
"777",1.319372
"778",3.403141
"779",1.361257
"780",1.17801
"781",4.293194
"782",4.808377
"783",1.099476
"784",2.219895
"785",2.617801
"786",1.434496
"787",1.04712
"788",2.513089
"789",1.62146
"790",19.162304
"791",1.570681
"792",2.303665
"793",1.845555
"794",1.04712
"795",1.989529
"796",2.827225
"797",1.256545
"798",3.979058
"799",1.361257
"800",1.633508
"801",18.848168
"802",1.125654
"803",5.305578
"804",1.727749
"805",1.165342
"806",1.151832
"807",1.256545
"808",3.568586
"809",7.235602
"810",1.570681
"811",7.643979
"812",2.122003
"813",2.931937
"814",1.287958
"815",1.068007
"816",1.275615
"817",1.623037
"818",2.670157
"819",1.256545
"820",1.103048
"821",1.204188
"822",1.151832
"823",1.884817
"824",7.539267
"825",1.099476
"826",1.570681
"827",2.670157
"828",1.151832
"829",3.874346
"830",5.026178
"831",1.780105
"832",4.764398
"833",1.151832
"834",1.5
"835",1.251
"836",1.03
"837",1.05
"838",1.9
"839",1.1
"840",1.88175
"841",1.007
"842",1.63
"843",1.025
"844",1.007274
"845",3.5
"846",2.9
"847",2.463137
"848",4.625
"849",1.03
"850",1.4
"851",1.077075
"852",1.32
"853",2.6
"854",1.08
"855",1.517
"856",1.07
"857",2.256823
"858",1.788413
"859",1.278896
"860",4.609074
"861",3.183
"862",1.2
"863",2.743
"864",3
"865",1.008938
"866",1.004084
"867",1.85
"868",1.520994
"869",1.250089
"870",1
"871",1.956
"872",1.05
"873",2.779
"874",22.137567
"875",1.445
"876",1.0051
"877",1
"878",1
"879",16.3
"880",1.11
"881",1.475
"882",1.049873
"883",1.753542
"884",6.143355
"885",1.23
"886",1.939
"887",46.5
"888",1.241472
"889",3.4
"890",1
"891",6.2
"892",1.966237
"893",2.17
"894",1.296
"895",1.555
"896",1.15
"897",1.33
"898",4.124285
"899",1.394239
"900",4.761228
"901",4.868852
"902",4
"903",1.6
"904",7.085
"905",1.765054
"906",6.306654
"907",1.25
"908",1.2
"909",1.226412
"910",6.563
"911",4.17
"912",2.68
"913",1.075
"914",1.932957
"915",1.375
"916",1.25
"917",3.38
"918",1.3801
"919",2.283
"920",2.35
"921",3.15
"922",3.35
"923",4
"924",10.5
"925",2.89
"926",5.5
"927",2.8
"928",1.26
"929",1.1
"930",2.126759
"931",2.2
"932",1.07
"933",9.2
"934",1.5
"935",1.65
"936",12.225
"937",1.4
"938",14.239
"939",1.085
"940",1.05
"941",2.65
"942",2.123
"943",5.2
"944",1.825
"945",1.1
"946",1
"947",2.065
"948",1.2774
"949",1.195
"950",1.2
"951",1.1
"952",1.4
"953",1.585
"954",3.265042
"955",1.2
"956",2.433
"957",1.6
"958",2
"959",4.76
"960",1.165
"961",1.372
"962",1.2
"963",1.65
"964",1.7
"965",1.3
"966",1.1
"967",1.1
"968",1.241012
"969",1.005
"970",3.282
"971",1.05
"972",57.410636
"973",1.088
"974",1.118
"975",2.67
"976",1.0749
"977",2.141
"978",5.85
"979",14.3
"980",1.971
"981",1.7
"982",6.167
"983",1.05
"984",1.156058
"985",3.58215
"986",13.5
"987",1.2015
"988",1.65
"989",1.3776
"990",3.8
"991",1.3255
"992",4.05
"993",6.7
"994",1.16
"995",1.5
"996",1.06
"997",1.491287
"998",1.981813
"999",1.5
"1000",3.21436
"1001",4.1
"1002",1
"1003",10.7
"1004",19.4
"1005",1.605603
"1006",1.132
"1007",2.255
"1008",2.02
"1009",1.231
"1010",4.1
"1011",7.23
"1012",1.85
"1013",1
"1014",2.56
"1015",1.553
"1016",1.7
"1017",1.045472
"1018",1.054
"1019",1
"1020",8.71
"1021",1.5
"1022",1.5
"1023",1.26106
"1024",1.055
"1025",1.282
"1026",1.3
"1027",1.3
"1028",1.422078
"1029",1
"1030",1.2
"1031",1.85
"1032",1.18
"1033",1.043
"1034",1
"1035",1.6
"1036",5.6
"1037",1.8
"1038",2.5
"1039",1.75
"1040",1.45
"1041",1.460945
"1042",1.157184
"1043",1.495757
"1044",5.207329
"1045",3.683703
"1046",1.44648
"1047",1.038658
"1048",1.253616
"1049",1.060752
"1050",1.398264
"1051",1.398264
"1052",2.4108
"1053",1.441851
"1054",1.639344
"1055",1.050627
"1056",1.755063
"1057",4.484089
"1058",1.677917
"1059",1.060752
"1060",1
"1061",3.082932
"1062",1.277724
"1063",1.207329
"1064",1.92864
"1065",1.002893
"1066",1.089682
"1067",1.758129
"1068",1.44648
"1069",1.591128
"1070",1.108968
"1071",1.02311
"1072",2.000964
"1073",1.314311
"1074",2.068467
"1075",3.085824
"1076",6.798457
"1077",1.639344
"1078",1.639344
"1079",1.229508
"1080",1.735776
"1081",2.823417
"1082",2.507232
"1083",1.86674
"1084",4.435873
"1085",1.92864
"1086",1.060752
"1087",1.741466
"1088",3.085824
"1089",12.054002
"1090",1.157184
"1091",2.4108
"1092",1.558341
"1093",1.350048
"1094",3.182257
"1095",1.900663
"1096",2.314368
"1097",3.707811
"1098",3.206365
"1099",1.060752
"1100",1.44648
"1101",1.157184
"1102",5.207329
"1103",3.664417
"1104",1.659229
"1105",2.507232
"1106",3.1919
"1107",16.441659
"1108",1.082932
"1109",2.4108
"1110",3.669248
"1111",1.181292
"1112",29.026037
"1113",4.918033
"1114",1.148505
"1115",1.542912
"1116",1.56702
"1117",1.253616
"1118",1.542912
"1119",1.832208
"1120",1.663452
"1121",1.277724
"1122",2.443589
"1123",2.89296
"1124",3.134041
"1125",2.603664
"1126",3.789778
"1127",1.902604
"1128",3.770439
"1129",1.166827
"1130",1.189007
"1131",1.321119
"1132",1.735776
"1133",12.536162
"1134",1.321119
"1135",1.157184
"1136",5.785921
"1137",1.832208
"1138",1.38898
"1139",1.2054
"1140",1.108968
"1141",1.729358
"1142",1.639344
"1143",1.087648
"1144",1.542912
"1145",1.432015
"1146",2.16972
"1147",5.400193
"1148",5.785921
"1149",1.350048
"1150",6.075217
"1151",18.322083
"1152",1.157184
"1153",1.591128
"1154",1.92864
"1155",1.44648
"1156",1.677917
"1157",1.157184
"1158",1.010998
"1159",2.844744
"1160",1.735776
"1161",1.150434
"1162",2.507232
"1163",2.89296
"1164",2.097396
"1165",2.0865
"1166",1.44648
"1167",2.150289
"1168",1.122093
"1169",1.658631
"1170",1.697203
"1171",1.591128
"1172",5.785921
"1173",1.055931
"1174",1.44648
"1175",2.89296
"1176",1.157184
"1177",1.12054
"1178",1.157184
"1179",1.203375
"1180",5.593057
"1181",1.43298
"1182",1.26432
"1183",1.399229
"1184",1.147704
"1185",1.238234
"1186",1.759884
"1187",1.542912
"1188",2.121504
"1189",1.542912
"1190",1.253616
"1191",1.92864
"1192",1.330762
"1193",1.92864
"1194",1.108968
"1195",2.025072
"1196",8.678881
"1197",2.217936
"1198",1.301832
"1199",1.123897
"1200",1.72758
"1201",1.374156
"1202",1.006958
"1203",8.100289
"1204",1.002893
"1205",1.171649
"1206",10.27001
"1207",1.271395
"1208",2.89296
"1209",3.345232
"1210",1.060752
"1211",2.89296
"1212",1.121504
"1213",1.697203
"1214",1.71649
"1215",1.102411
"1216",17.068467
"1217",2.603664
"1218",1.253616
"1219",3.567985
"1220",1.494696
"1221",1.639344
"1222",1.722276
"1223",2.351013
"1224",1.68756
"1225",1.470588
"1226",2.314368
"1227",1.253616
"1228",1.144429
"1229",1.2054
"1230",2.6027
"1231",2.941794
"1232",2.181292
"1233",1.44648
"1234",4.821601
"1235",3.837994
"1236",1.350048
"1237",1.542912
"1238",1.157184
"1239",1.92864
"1240",2.242044
"1241",1.263259
"1242",1.012536
"1243",1.92864
"1244",1.137898
"1245",1.037608
"1246",1.253616
"1247",2.18756
"1248",4.767295
"1249",1.542912
"1250",1.060752
"1251",2.75217
"1252",3.182257
"1253",1.44648
"1254",1.92864
"1255",1.591128
"1256",3.085824
"1257",4.098361
"1258",1.880424
"1259",2.4108
"1260",1.012536
"1261",1.92864
"1262",1.060752
"1263",1.639344
"1264",1.128255
"1265",1.44648
"1266",1.44648
"1267",2.89296
"1268",1.388621
"1269",1.639344
"1270",2.022179
"1271",1.705159
"1272",1.051109
"1273",17.743491
"1274",1.157184
"1275",3.857281
"1276",1.705159
"1277",1.350048
"1278",5.496625
"1279",1.023191
"1280",1.304267
"1281",1.06679
"1282",1.808905
"1283",3.246753
"1284",1.41744
"1285",2.490724
"1286",1.011132
"1287",2.971243
"1288",3.004638
"1289",1.420223
"1290",2.233766
"1291",1.397959
"1292",2.319109
"1293",2.852505
"1294",1.994434
"1295",1.742115
"1296",1.646568
"1297",2.973098
"1298",1.113173
"1299",1.48423
"1300",1.113173
"1301",1.149351
"1302",3.184601
"1303",2.226345
"1304",3.896104
"1305",1.437848
"1306",2.368275
"1307",1.021336
"1308",1.020408
"1309",2.736549
"1310",23.283859
"1311",1.391466
"1312",1.391466
"1313",2.040816
"1314",1.020408
"1315",2.153061
"1316",1.06679
"1317",1.391466
"1318",1.459184
"1319",4.990724
"1320",1.057514
"1321",4.128015
"1322",1.076994
"1323",1.502783
"1324",1.021336
"1325",4.5
"1326",3.107607
"1327",2.254174
"1328",1.757885
"1329",1.398887
"1330",1.252319
"1331",4.498145
"1332",2.411874
"1333",2.105751
"1334",3.188312
"1335",3.684601
"1336",1.576994
"1337",1.651206
"1338",2.523191
"1339",1.669759
"1340",1.904453
"1341",1.855288
"1342",1.623377
"1343",1.855288
"1344",2.319109
"1345",1.437848
"1346",3.038033
"1347",1.256957
"1348",1.244898
"1349",3.896104
"1350",1.113173
"1351",1.280148
"1352",6.586271
"1353",1.085343
"1354",1.606679
"1355",1.298701
"1356",1.762523
"1357",1.113173
"1358",1.250464
"1359",1.235622
"1360",1.113173
"1361",4.823748
"1362",2.425788
"1363",3.147495
"1364",1.618738
"1365",1.521336
"1366",1.855288
"1367",7.142857
"1368",1.217069
"1369",1.113173
"1370",1.576994
"1371",1.623377
"1372",1.762523
"1373",1.391466
"1374",1.159555
"1375",11.131725
"1376",1.113173
"1377",1.855288
"1378",1.669759
"1379",12.523191
"1380",2.040816
"1381",5.751391
"1382",5.565863
"1383",5.751391
"1384",1.113173
"1385",4.174397
"1386",8.812616
"1387",3.780148
"1388",32.467532
"1389",2.087199
"1390",3.293135
"1391",3.339518
"1392",1.390538
"1393",1.623377
"1394",4.45269
"1395",1.053803
"1396",1.391466
"1397",1.391466
"1398",1.669759
"1399",1.690167
"1400",1.317254
"1401",4.406308
"1402",1.391466
"1403",2.133581
"1404",1.205937
"1405",1.363636
"1406",2.397959
"1407",3.246753
"1408",1.069573
"1409",2.875696
"1410",1.020408
"1411",1.113173
"1412",1.816327
"1413",1.356215
"1414",1.48423
"1415",2.782931
"1416",1.6141
"1417",29.037106
"1418",18.552876
"1419",2.504638
"1420",3.061224
"1421",1.164193
"1422",1.113173
"1423",1.363636
"1424",1.076067
"1425",1.512059
"1426",1.847866
"1427",16.883117
"1428",1.391466
"1429",1.90167
"1430",1.44898
"1431",1.768089
"1432",1.020408
"1433",1.579777
"1434",1.205937
"1435",1.516698
"1436",1.020408
"1437",1.855288
"1438",1.205937
"1439",1.020408
"1440",1.22449
"1441",1.004638
"1442",7.792208
"1443",1.349722
"1444",27.829314
"1445",4.174397
"1446",5.899814
"1447",1.006494
"1448",1.507421
"1449",1.205937
"1450",1.113173
"1451",12.059369
"1452",2.319109
"1453",3.339518
"1454",1.159555
"1455",2.372913
"1456",1.096475
"1457",1.104824
"1458",1.252319
"1459",3.650278
"1460",1.391466
"1461",1.298701
"1462",6.307978
"1463",9.461967
"1464",2.875696
"1465",1.683673
"1466",3.481447
"1467",7.606679
"1468",1.391466
"1469",3.896104
"1470",1.125232
"1471",11.595547
"1472",3.076994
"1473",2.115028
"1474",1.855288
"1475",1.756957
"1476",1.48423
"1477",3.061224
"1478",1.576994
"1479",1.734694
"1480",1.762523
"1481",1.289425
"1482",1.46846
"1483",5.194805
"1484",1.948052
"1485",4.118738
"1486",4.962894
"1487",5.102041
"1488",1.345083
"1489",1.075139
"1490",7.101113
"1491",2.070501
"1492",2.411874
"1493",1.237477
"1494",2.040816
"1495",1.298701
"1496",2.894249
"1497",1.06679
"1498",1.391466
"1499",1.530612
"1500",1.048237
"1501",1.178108
"1502",1.345083
"1503",2.040816
"1504",1.669759
"1505",1.618456
"1506",1.027507
"1507",16.415262
"1508",1.508429
"1509",1.685892
"1510",1.330967
"1511",2.30701
"1512",1.920142
"1513",3.771074
"1514",1.153505
"1515",5.094055
"1516",2.956522
"1517",1.79858
"1518",1.552795
"1519",1.330967
"1520",1.887311
"1521",1.774623
"1522",1.330967
"1523",6.015972
"1524",3.261757
"1525",1.166815
"1526",2.520852
"1527",1.2937
"1528",18.424135
"1529",1.064774
"1530",1.955634
"1531",2.040816
"1532",7.985803
"1533",3.496894
"1534",6.511091
"1535",1.259982
"1536",1.853594
"1537",1.552795
"1538",1.267081
"1539",2.129547
"1540",2.7063
"1541",1.552795
"1542",1.330967
"1543",1.467613
"1544",2.30701
"1545",1.90772
"1546",1.242236
"1547",1.21118
"1548",1.996451
"1549",38.154392
"1550",2.129547
"1551",2.484472
"1552",1.690328
"1553",1.76575
"1554",1.538598
"1555",1.685892
"1556",1.242236
"1557",1.330967
"1558",1.982254
"1559",1.863354
"1560",1.885537
"1561",5.210293
"1562",1.153505
"1563",1.78882
"1564",5.767524
"1565",1.330967
"1566",6.832298
"1567",1.362023
"1568",3.549246
"1569",1.375333
"1570",2.30701
"1571",2.661934
"1572",7.542147
"1573",5.681455
"1574",9.228039
"1575",1.080745
"1576",1.612245
"1577",1.242236
"1578",1.356699
"1579",1.508429
"1580",2.30701
"1581",1.375333
"1582",1.552795
"1583",27.338066
"1584",1.237799
"1585",1.192547
"1586",1.277728
"1587",1.330967
"1588",7.542147
"1589",2.223602
"1590",1.153505
"1591",1.787933
"1592",1.437445
"1593",6.140195
"1594",1.616681
"1595",2.094055
"1596",11.801242
"1597",2.972493
"1598",1.952085
"1599",2.488021
"1600",3.992902
"1601",2.222715
"1602",25.288376
"1603",2.440106
"1604",3.726708
"1605",3.75244
"1606",1.641526
"1607",1.242236
"1608",1.242236
"1609",4.436557
"1610",1.064774
"1611",1.19787
"1612",2.395741
"1613",10.204082
"1614",1.774623
"1615",2.320319
"1616",2.30701
"1617",1.087844
"1618",1.142857
"1619",1.153505
"1620",1.866903
"1621",2.484472
"1622",2.573203
"1623",1.121562
"1624",5.989352
"1625",2.509317
"1626",1.328305
"1627",1.045253
"1628",1.387755
"1629",1.153505
"1630",1.286602
"1631",1.047028
"1632",4.61402
"1633",20.452529
"1634",2.218279
"1635",5.323869
"1636",1.216504
"1637",7.098492
"1638",1.330967
"1639",1.774623
"1640",3.012422
"1641",47.019521
"1642",1.100266
"1643",2.309672
"1644",1.145519
"1645",1.37622
"1646",1.142857
"1647",2.896185
"1648",1.774623
"1649",1.354037
"1650",24.578527
"1651",2.261757
"1652",4.436557
"1653",1.348713
"1654",15.882875
"1655",1.020408
"1656",1.262644
"1657",2.661934
"1658",1.051464
"1659",1.952085
"1660",1.357587
"1661",1.641526
"1662",7.542147
"1663",2.218279
"1664",5.501331
"1665",2.21118
"1666",1.477374
"1667",1.641526
"1668",1.020408
"1669",3.283052
"1670",25.95386
"1671",1.064774
"1672",4.081633
"1673",2.288376
"1674",1.100266
"1675",2.838509
"1676",3.194321
"1677",1.597161
"1678",1.774623
"1679",1.721384
"1680",2.333629
"1681",4.494232
"1682",8.873114
"1683",2.676131
"1684",1.147294
"1685",1.330967
"1686",1.508429
